"codice_istat","denominazione_ita","cap","sigla_provincia","denominazione_provincia","denominazione_regione","lat","lon","superficie_kmq","punti_di_misura"
6065,"Denice",15010,"AL","Alessandria","Piemonte",44.598774,8.3339207,7.3246,"SMP9768yz"
6070,"Francavilla Bisio",15060,"AL","Alessandria","Piemonte",44.7358621,8.7316428,7.8163,"SMP8249vz"
6074,"Fresonara",15064,"AL","Alessandria","Piemonte",44.7826853,8.6849203,6.9602,"SMP0241eo"
6099,"Moncestino",15020,"AL","Alessandria","Piemonte",45.1549091,8.1583171,6.5692,"SMP5945qd"
6105,"Montecastello",15040,"AL","Alessandria","Piemonte",44.9489154,8.6865903,7.6724,"SMP1070lt"
6117,"Odalengo Piccolo",15020,"AL","Alessandria","Piemonte",45.0719671,8.2095103,7.5761,"SMP8797iv"
6139,"Prasco",15010,"AL","Alessandria","Piemonte",44.6423704,8.5527972,5.9831,"SMP8761ui"
6145,"Rivarone",15040,"AL","Alessandria","Piemonte",44.9776935,8.7157013,6.3423,"SMP2107zl"
6150,"Sala Monferrato",15030,"AL","Alessandria","Piemonte",45.0755626,8.3582902,7.6049,"SMP8096et"
6153,"San Giorgio Monferrato",15020,"AL","Alessandria","Piemonte",45.1077185,8.4152262,7.1345,"SMP6161jy"
6156,"Sant'Agata Fossili",15050,"AL","Alessandria","Piemonte",44.7858309,8.9190034,7.9406,"SMP9471ke"
6170,"Tassarolo",15060,"AL","Alessandria","Piemonte",44.7265644,8.7695113,7.2619,"SMP3241ua"
6171,"Terruggia",15030,"AL","Alessandria","Piemonte",45.0830938,8.4422723,7.4528,"SMP4961oh"
6186,"Villaromagnano",15050,"AL","Alessandria","Piemonte",44.8510037,8.8871985,6.069,"SMP1253ei"
6030,"Carbonara Scrivia",15050,"AL","Alessandria","Piemonte",44.8497685,8.8706939,5.1461,"SMP9190jv"
6048,"Castelletto d'Erro",15010,"AL","Alessandria","Piemonte",44.6251117,8.3944958,4.8382,"SMP9634fb"
6056,"Cella Monte",15034,"AL","Alessandria","Piemonte",45.0747571,8.3905724,5.6568,"SMP1425xk"
6058,"Cerreto Grue",15050,"AL","Alessandria","Piemonte",44.8418503,8.9319379,4.7132,"SMP2480uy"
6071,"Frascaro",15010,"AL","Alessandria","Piemonte",44.8270373,8.5326729,5.3307,"SMP7148nv"
6082,"Giarole",15036,"AL","Alessandria","Piemonte",45.060686,8.5678515,5.2835,"SMP4833hu"
6103,"Montaldeo",15060,"AL","Alessandria","Piemonte",44.6665318,8.7306334,5.3966,"SMP3010pi"
6104,"Montaldo Bormida",15010,"AL","Alessandria","Piemonte",44.6834665,8.5890963,5.6707,"SMP4902va"
6107,"Montegioco",15050,"AL","Alessandria","Piemonte",44.8377323,8.9540495,5.4766,"SMP2483mp"
6119,"Orsara Bormida",15010,"AL","Alessandria","Piemonte",44.6900971,8.5624583,5.1143,"SMP8918lx"
6124,"Paderna",15050,"AL","Alessandria","Piemonte",44.820642,8.8900557,4.4705,"SMP9255rg"
6127,"Pasturana",15060,"AL","Alessandria","Piemonte",44.7503965,8.7488816,5.307,"SMP4937eg"
6152,"San Cristoforo",15060,"AL","Alessandria","Piemonte",44.6919846,8.7507352,3.4589,"SMP2376kn"
6155,"San Sebastiano Curone",15056,"AL","Alessandria","Piemonte",44.7854846,9.0653733,4.0649,"SMP0663zy"
